CMTRT,CMDECOD,Anatomical Class,Anatomical Class Code,Therapeutic Class,Therapeutic Class Code,Pharmacological Class,Pharmacological Class Code,Chemical Class,ATC Code
RABEPRAZOLE SODIUM,Rabeprazole Sodium,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
RAMIPRIL,Ramipril,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
RANITIDINE,Ranitidine,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,H2-Receptor Antagonists,A02BA
RANITIDINE HYDROCHLORIDE,Ranitidine Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,H2-Receptor Antagonists,A02BA
RED BLOOD CELLS,Red Blood Cells,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,,B05A
REMIFENTANIL,Remifentanil,Nervous System,N,Anesthetics,N01,"Anesthetics, General",N01A,Opioid Anesthetics,N01AH
REPAGLINIDE,Repaglinide,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,"Other Blood Glucose Lowering Drugs, Excl. Insulins",A10BX
RESPAIRE-SR-120,Respaire-Sr-120,Respiratory System,R,Nasal Preparations,R01,Nasal Decongestants For Systemic Use,R01B,Sympathomimetics,R01BA
RINGER,Ringer,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Irrigating Solutions,B05C,Salt Solutions,B05CB
RISEDRONATE SODIUM,Risedronate Sodium,Musculo-Skeletal System,M,Drugs For Treatment Of Bone Diseases,M05,Drugs Affecting Bone Structure And Mineralization,M05B,Bisphosphonates,M05BA
RISPERIDONE,Risperidone,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Other Antipsychotics,N05AX
ROSIGLITAZONE MALEATE,Rosiglitazone Maleate,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Thiazolidinediones,A10BG
ROSUVASTATIN CALCIUM,Rosuvastatin Calcium,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Hmg Coa Reductase Inhibitors,C10AA
SACCHAROMYCES BOULARDII,Saccharomyces Boulardii,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Antidiarrheal Microorganisms,A07F,Antidiarrheal Microorganisms,A07FA
SALACTOL,Salactol,Dermatologicals,D,Emollients And Protectives,D02,Emollients And Protectives,D02A,Salicylic Acid Preparations,D02AF
SALBUTAMOL,Salbutamol,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Selective Beta-2-Adrenoreceptor Agonists,R03AC
SALICYLIC ACID,Salicylic Acid,Dermatologicals,D,Antifungals For Dermatological Use,D01,Antifungals For Topical Use,D01A,Other Antifungals For Topical Use,D01AE
SALMETEROL,Salmeterol,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Selective Beta-2-Adrenoreceptor Agonists,R03AC
SALUTEC,Salutec,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Combinations",C09B,Ace Inhibitors And Diuretics,C09BA
SENNA ALEXANDRINA LEAF,Senna Alexandrina Leaf,Various,V,Unspecified Herbal,V90,,,,V90
SENNOSIDE A+B,Sennoside A+B,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
SENOKOT-S,Senokot-S,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
SERENOA REPENS,Serenoa Repens,Various,V,Unspecified Herbal,V90,,,,V90
SERETIDE,Seretide,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Adrenergics And Oth.Drugs For Obstruct.Airway Dis.,R03AK
SERTRALINE HYDROCHLORIDE,Sertraline Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
SHARK CARTILAGE,Shark Cartilage,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,,,,L01
SILYBUM MARIANUM,Silybum Marianum,Various,V,Unspecified Herbal,V90,,,,V90
SIMETICONE,Simeticone,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,Other Drugs For Functional Bowel Disorders,A03AX
SIMVASTATIN,Simvastatin,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Hmg Coa Reductase Inhibitors,C10AA
SITAGLIPTIN PHOSPHATE,Sitagliptin Phosphate,Alimentary Tract And Metabolism,A,Drugs Used In Diabetes,A10,"Blood Glucose Lowering Drugs, Excl. Insulins",A10B,Dipeptidyl Peptidase 4 (Dpp-4) Inhibitors,A10BH
SMECTITE,Smectite,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,"Comb And Compl. Of Alumin., Calc. And Magnes. Comp",A02AD
SODIUM BICARBONATE,Sodium Bicarbonate,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,Antacids With Sodium Bicarbonate,A02AH
SODIUM CHLORIDE,Sodium Chloride,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,,A06A
SODIUM CHLORIDE COMPOUND INJECTION,Sodium Chloride Compound Injection,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Other Mineral Supplements,A12C,Sodium,A12CA
SODIUM FOLINATE,Sodium Folinate,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Vitamin B12 And Folic Acid,B03B,Folic Acid And Derivatives,B03BB
SODIUM PHOSPHATE,Sodium Phosphate,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
SODIUM PHOSPHATE MONOBASIC (ANHYDRATE),Sodium Phosphate Monobasic (Anhydrate),Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Osmotically Acting Laxatives,A06AD
SODIUM PICOSULFATE,Sodium Picosulfate,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
SOLUTIONS AFFECTING THE ELECTROLYTE BALANCE,Solutions Affecting The Electrolyte Balance,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions Affecting The Electrolyte Balance,B05BB
SOLUTIONS FOR PARENTERAL NUTRITION,Solutions For Parenteral Nutrition,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
SOTALOL HYDROCHLORIDE,Sotalol Hydrochloride,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Non-Selective",C07AA
SPASFON,Spasfon,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,Other Drugs For Functional Bowel Disorders,A03AX
SPEKTRAMOX,Spektramox,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,"Comb Of Penicillins, Incl. Beta-Lactamase Inhib.",J01CR
SPIRONOLACTONE,Spironolactone,Cardiovascular System,C,Diuretics,C03,Potassium-Sparing Agents,C03D,Aldosterone Antagonists,C03DA
STEROFUNDIN,Sterofundin,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions Affecting The Electrolyte Balance,B05BB
"STOMATOLOGICALS, MOUTH PREPARATIONS","Stomatologicals, Mouth Preparations",Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,,A01A
STRUCTOKABIVEN,Structokabiven,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
SUCRALFATE,Sucralfate,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Other Drugs For Peptic Ulcer And Gord,A02BX
SULFACETAMIDE,Sulfacetamide,Sensory Organs,S,Ophthalmologicals,S01,Antiinfectives,S01A,Sulfonamides,S01AB
SULPERAZON,Sulperazon,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Combinations Of Antibacterials,J01R,Combinations Of Antibacterials,J01RA
SULPIRIDE,Sulpiride,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Other Drugs For Peptic Ulcer And Gord,A02BX
SULTAMICILLIN TOSILATE,Sultamicillin Tosilate,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,"Comb Of Penicillins, Incl. Beta-Lactamase Inhib.",J01CR
SUXAMETHONIUM CHLORIDE,Suxamethonium Chloride,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Peripherally Acting Agents",M03A,Choline Derivatives,M03AB
SWISS-KAL EFF,Swiss-Kal Eff,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Potassium,A12B,Potassium,A12BA
SYNGEL,Syngel,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,"Antacids, Other Combinations",A02AX
TAMSULOSIN,Tamsulosin,Genito Urinary System And Sex Hormones,G,Urologicals,G04,Drugs Used In Benign Prostatic Hypertrophy,G04C,Alpha-Adrenoreceptor Antagonists,G04CA
TAMSULOSIN HYDROCHLORIDE,Tamsulosin Hydrochloride,Genito Urinary System And Sex Hormones,G,Urologicals,G04,Drugs Used In Benign Prostatic Hypertrophy,G04C,Alpha-Adrenoreceptor Antagonists,G04CA
TAZOBACTAM,Tazobactam,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Beta-Lactamase Inhibitors,J01CG
TEGAFUR,Tegafur,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Antimetabolites,L01B,Pyrimidine Analogues,L01BC
TELMISARTAN,Telmisartan,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Plain",C09C,"Angiotensin Ii Antagonists, Plain",C09CA
TEMAZEPAM,Temazepam,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Derivatives,N05CD
TERAZOSIN,Terazosin,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Peripherally Acting",C02C,Alpha-Adrenoreceptor Antagonists,C02CA
TESTOSTERONE,Testosterone,Genito Urinary System And Sex Hormones,G,Sex Hormones And Modulators Of The Genital System,G03,Androgens,G03B,3-Oxoandrosten (4) Derivatives,G03BA
TETRACOSACTIDE,Tetracosactide,"Systemic Hormonal Prep.,Excl.Sex Horm.And Insulin",H,Pituitary And Hypothalamic Hormones And Analogues,H01,Anterior Pituitary Lobe Hormones And Analogues,H01A,Acth,H01AA
TETRAZEPAM,Tetrazepam,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Centrally Acting Agents",M03B,Other Centrally Acting Agents,M03BX
THIAMINE,Thiamine,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vit B1,Plain And In Comb With Vitamin B6 And B12",A11D,"Vitamin B1, Plain",A11DA
THIAMINE HYDROCHLORIDE,Thiamine Hydrochloride,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vit B1,Plain And In Comb With Vitamin B6 And B12",A11D,"Vitamin B1, Plain",A11DA
THIETHYLPERAZINE,Thiethylperazine,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Phenothiazine Derivatives,R06AD
THIETHYLPERAZINE MALEATE,Thiethylperazine Maleate,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Phenothiazine Derivatives,R06AD
TIAPRIDE HYDROCHLORIDE,Tiapride Hydrochloride,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Benzamides,N05AL
TIAPROFENIC ACID,Tiaprofenic Acid,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,Propionic Acid Derivatives,M01AE
TICLOPIDINE HYDROCHLORIDE,Ticlopidine Hydrochloride,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Platelet Aggregation Inhibitors Excl. Heparin,B01AC
TIMENTIN,Timentin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,"Comb Of Penicillins, Incl. Beta-Lactamase Inhib.",J01CR
TIMOLOL,Timolol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Non-Selective",C07AA
TIOTROPIUM,Tiotropium,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Oth.Drugs For Obstruc.Airway Diseases,Inhalants",R03B,Anticholinergics,R03BB
TIOTROPIUM BROMIDE,Tiotropium Bromide,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Oth.Drugs For Obstruc.Airway Diseases,Inhalants",R03B,Anticholinergics,R03BB
TIZANIDINE HYDROCHLORIDE,Tizanidine Hydrochloride,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Centrally Acting Agents",M03B,Other Centrally Acting Agents,M03BX
TOBRADEX,Tobradex,Sensory Organs,S,Ophthalmologicals,S01,Antiinflammatory Agents And Antiinfectives In Comb,S01C,Corticosteroids And Antiinfectives In Combination,S01CA
TOCOPHERYL ACETATE,Tocopheryl Acetate,Alimentary Tract And Metabolism,A,Vitamins,A11,Other Plain Vitamin Preparations,A11H,Other Plain Vitamin Preparations,A11HA
TOLPERISONE HYDROCHLORIDE,Tolperisone Hydrochloride,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Centrally Acting Agents",M03B,Other Centrally Acting Agents,M03BX
TORASEMIDE SODIUM,Torasemide Sodium,Cardiovascular System,C,Diuretics,C03,High-Ceiling Diuretics,C03C,"Sulfonamides, Plain",C03CA
TRAMADOL,Tramadol,Nervous System,N,Analgesics,N02,Opioids,N02A,Other Opioids,N02AX
TRAMADOL HYDROCHLORIDE,Tramadol Hydrochloride,Nervous System,N,Analgesics,N02,Opioids,N02A,Other Opioids,N02AX
TRAVOPROST,Travoprost,Sensory Organs,S,Ophthalmologicals,S01,Antiglaucoma Preparations And Miotics,S01E,Prostaglandin Analogues,S01EE
TRAZODONE,Trazodone,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
TRAZODONE HYDROCHLORIDE,Trazodone Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
TRIAMCINOLONE,Triamcinolone,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Corticosteroids For Local Oral Treatment,A01AC
TRIAMCINOLONE ACETONIDE,Triamcinolone Acetonide,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Corticosteroids For Local Oral Treatment,A01AC
TRILAC,Trilac,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Antidiarrheal Microorganisms,A07F,Antidiarrheal Microorganisms,A07FA
TRIMEBUTINE,Trimebutine,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,"Synt Anticholin,Esters With Tertiary Amino Group",A03AA
TRIMEBUTINE MALEATE,Trimebutine Maleate,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Drugs For Functional Bowel Disorders,A03A,"Synt Anticholin,Esters With Tertiary Amino Group",A03AA
TRIMECAINE HYDROCHLORIDE,Trimecaine Hydrochloride,Nervous System,N,Anesthetics,N01,"Anesthetics, Local",N01B,Amides,N01BB
TRIMEPERIDINE,Trimeperidine,Nervous System,N,Analgesics,N02,Opioids,N02A,Other Opioids,N02AX
TROPISETRON HYDROCHLORIDE,Tropisetron Hydrochloride,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Serotonin (5Ht3) Antagonists,A04AA
TUSSIN DM,Tussin Dm,Respiratory System,R,Cough And Cold Preparations,R05,"Cough Suppressants And Expectorants, Combinations",R05F,Opium Derivatives And Expectorants,R05FA
TYLOX,Tylox,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
ULTRACET,Ultracet,Nervous System,N,Analgesics,N02,Opioids,N02A,Other Opioids,N02AX
URACIL,Uracil,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Antimetabolites,L01B,,L01B
UREA,Urea,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions Producing Osmotic Diuresis,B05BC
URINARY ANTISPASMODICS,Urinary Antispasmodics,Genito Urinary System And Sex Hormones,G,Urologicals,G04,"Other Urologicals, Incl. Antispasmodics",G04B,Urinary Antispasmodics,G04BD
URSODEOXYCHOLIC ACID,Ursodeoxycholic Acid,Alimentary Tract And Metabolism,A,Bile And Liver Therapy,A05,Bile Therapy,A05A,Bile Acid Preparations,A05AA
VALPIN 50-PB,Valpin 50-Pb,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Antispasmodics In Combination With Analgesics,A03D,Belladonna And Derivatives In Comb With Analgesics,A03DB
VALPROATE SEMISODIUM,Valproate Semisodium,Nervous System,N,Antiepileptics,N03,Antiepileptics,N03A,Fatty Acid Derivatives,N03AG
VALSARTAN,Valsartan,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Plain",C09C,"Angiotensin Ii Antagonists, Plain",C09CA
VANCOMYCIN,Vancomycin,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinfectives,A07A,Antibiotics,A07AA
VANCOMYCIN HYDROCHLORIDE,Vancomycin Hydrochloride,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinfectives,A07A,Antibiotics,A07AA
VASERETIC,Vaseretic,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Combinations",C09B,Ace Inhibitors And Diuretics,C09BA
VENLAFAXINE,Venlafaxine,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
VENLAFAXINE HYDROCHLORIDE,Venlafaxine Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
VERAPAMIL,Verapamil,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Direct Cardiac Eff,C08D,Phenylalkylamine Derivatives,C08DA
VICODIN,Vicodin,Nervous System,N,Analgesics,N02,Opioids,N02A,Natural Opium Alkaloids,N02AA
VINPOCETINE,Vinpocetine,Nervous System,N,Psychoanaleptics,N06,"Psychostim., Agents Used For Adhd And Nootropics",N06B,Other Psychostimulants And Nootropics,N06BX
VITAMIN B1 AND B6,Vitamin B1 And B6,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vit B1,Plain And In Comb With Vitamin B6 And B12",A11D,Vit B1 In Comb With Vitamin B6 And/Or Vitamin B12,A11DB
VITAMIN PREPARATION COMPOUND,Vitamin Preparation Compound,Alimentary Tract And Metabolism,A,Vitamins,A11,"Other Vitamin Products, Combinations",A11J,Combinations Of Vitamins,A11JA
VITAMIN-B-KOMPLEX STANDARD,Vitamin-B-Komplex Standard,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vitamin B-Complex, Incl. Combinations",A11E,"Vitamin B-Complex, Plain",A11EA
VITAMINS WITH MINERALS,Vitamins With Minerals,Alimentary Tract And Metabolism,A,Vitamins,A11,"Other Vitamin Products, Combinations",A11J,Vitamins With Minerals,A11JB
VORICONAZOLE,Voriconazole,Antiinfectives For Systemic Use,J,Antimycotics For Systemic Use,J02,Antimycotics For Systemic Use,J02A,Triazole Derivatives,J02AC
WARFARIN,Warfarin,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Vitamin K Antagonists,B01AA
WARFARIN SODIUM,Warfarin Sodium,Blood And Blood Forming Organs,B,Antithrombotic Agents,B01,Antithrombotic Agents,B01A,Vitamin K Antagonists,B01AA
ZINC SULFATE,Zinc Sulfate,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Other Mineral Supplements,A12C,Zinc,A12CB
ZOLEDRONIC ACID,Zoledronic Acid,Musculo-Skeletal System,M,Drugs For Treatment Of Bone Diseases,M05,Drugs Affecting Bone Structure And Mineralization,M05B,Bisphosphonates,M05BA
ZOLPIDEM,Zolpidem,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Related Drugs,N05CF
ZOLPIDEM TARTRATE,Zolpidem Tartrate,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Related Drugs,N05CF
ZOPICLONE,Zopiclone,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Related Drugs,N05CF
ZOSEC,Zosec,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Drugs For Peptic Ulcer And Gord,A02B,Proton Pump Inhibitors,A02BC
