Lowest Level Term,Lowest Level Term Code,Preferred Term,Preferred Term Code,High Level Term,High Level Term Code,High Level Group Term,High Level Group Term Code,Body System Or Organ Class,Boody System Or Organ Class Code,AESOC,AESOCCD,sourcedataset,sourcevariable,sourcevalue,sourcetype
Muscle pain,10028322,Myalgia,10028411,Muscle pains,10028323,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Muscle pain,character
Tumor pain,10045158,Tumour pain,10045171,Oncologic complications and emergencies,10030315,Neoplasm related morbidities,10068775,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104,ae,AELLT,Tumour pain,character
Leg oedema,10024129,Oedema peripheral,10030124,Total fluid volume increased,10044085,Electrolyte and fluid balance conditions,10014412,Metabolism and nutrition disorders,10027433,Metabolism and nutrition disorders,10027433,ae,AELLT,Leg oedema,character
Pruritus NOS,10037096,Pruritus,10037087,Pruritus NEC,10049293,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Pruritis,character
Pleural pain,10035613,Pleuritic pain,10035623,Lower respiratory tract signs and symptoms,10024976,Respiratory tract signs and symptoms,10079101,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Pleural pain,character
Flu,10016790,Influenza,10022000,Viral upper respiratory tract infections,10047483,Respiratory tract infections,10024970,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Influenza,character
Edema face,10014222,Face oedema,10016029,Angioedemas,10002425,Allergic conditions,10001708,Immune system disorders,10021428,Immune system disorders,10021428,ae,AELLT,Edema face,character
Intestinal edema,10058065,Gastrointestinal oedema,10058061,Gastrointestinal disorders NEC,10017948,Gastrointestinal conditions NEC,10017943,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Intestinal edema,character
Hypoxic,10021144,Hypoxia,10021143,Conditions associated with abnormal gas exchange,10010268,Respiratory disorders NEC,10038716,"Respiratory, thoracic and mediastinal disorders",10038738,"Respiratory, thoracic and mediastinal disorders",10038738,ae,AELLT,Hypoxia,character
Muscle inflammation,10028313,Myositis,10028653,Muscle infections and inflammations,10021992,Muscle disorders,10028302,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Myositis,character
Dorsal pain,10013601,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Dorsal pain,character
Arthromyalgia,10064857,Musculoskeletal pain,10028391,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,Musculoskeletal and connective tissue disorders,10028395,ae,AELLT,Musculoskeletal pain,character
Nycturia,10054791,Nocturia,10029446,Urinary tract signs and symptoms NEC,10046591,Urinary tract signs and symptoms,10046590,Renal and urinary disorders,10038359,Renal and urinary disorders,10038359,ae,AELLT,Nycturia,character
Flatus,10016769,Flatulence,10016766,"Flatulence, bloating and distension",10016770,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Flatus,character
Tenderness epigastric,10043227,Abdominal tenderness,10000097,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal tenderness,character
Raised liver enzymes,10037823,Hepatic enzyme increased,10060795,Liver function analyses,10024689,Hepatobiliary investigations,10019809,Investigations,10022891,Investigations,10022891,ae,AELLT,Hepatic enzyme increased,character
Exanthem,10015585,Rash,10037844,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Exanthem,character
Night sweat,10029409,Night sweats,10029410,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,General disorders and administration site conditions,10018065,ae,AELLT,Night sweat,character
C.difficile colitis,10006833,Clostridium difficile colitis,10009657,Clostridia infections,10009653,Bacterial infectious disorders,10004018,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Clostridium difficile colitis,character
Gastroesophageal reflux disease,10066874,Gastrooesophageal reflux disease,10017885,Gastrointestinal atonic and hypomotility disorders NEC,10017933,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastroesophageal reflux disease,character
Sleepiness,10041014,Somnolence,10041349,Dyssomnias,10013980,Sleep disorders and disturbances,10040991,Psychiatric disorders,10037175,Psychiatric disorders,10037175,ae,AELLT,Sleepiness,character
Pain abdominal,10033374,Abdominal pain,10000081,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Pain abdominal,character
Belching,10004222,Eructation,10015137,Dyspeptic signs and symptoms,10013949,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Eructation,character
Bronchial infection,10055078,Bronchitis,10006451,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,Infections and infestations,10021881,ae,AELLT,Bronchial infection,character
Hyperpigmentation skin,10020715,Skin hyperpigmentation,10040865,Hyperpigmentation disorders,10020713,Pigmentation disorders,10035023,Skin and subcutaneous tissue disorders,10040785,Skin and subcutaneous tissue disorders,10040785,ae,AELLT,Skin hyperpigmentation,character
